dates,Wind Speed,aircraftArrivalAndDeparture
2000-01,6.529032258064516,14152
2000-02,5.903448275862068,13648
2000-03,4.5838709677419365,14517
2000-04,3.473333333333334,14189
2000-05,4.103225806451612,14523
2000-06,4.136666666666667,14324
2000-07,7.716129032258064,14726
2000-08,7.5290322580645155,14796
2000-09,7.063333333333334,14401
2000-10,4.9645161290322575,14941
2000-11,5.359999999999999,14601
2000-12,5.187096774193548,15138
2001-01,5.9548387096774205,15253
2001-02,7.957142857142856,13699
2001-03,5.167741935483871,15284
2001-04,3.763333333333334,14893
2001-05,5.648387096774194,15503
2001-06,5.94,15092
2001-07,7.770967741935485,15393
2001-08,6.8193548387096765,15377
2001-09,6.760000000000002,14818
2001-10,4.841935483870969,14898
2001-11,5.869999999999999,14302
2001-12,6.812903225806451,14848
2002-01,11.203225806451613,14563
2002-02,11.742857142857144,13227
2002-03,9.690322580645162,14587
2002-04,6.076666666666667,14187
2002-05,7.758064516129032,14784
2002-06,7.199999999999999,14299
2002-07,10.37741935483871,14796
2002-08,10.85161290322581,14867
2002-09,7.876666666666667,14420
2002-10,5.861290322580645,15050
2002-11,4.396666666666666,14666
2002-12,4.748387096774193,15374
2003-01,9.116129032258064,15268
2003-02,9.903571428571427,13977
2003-03,6.938709677419355,15254
2003-04,4.033333333333333,11780
2003-05,6.058064516129033,9555
2003-06,9.163333333333334,9859
2003-07,9.616129032258065,11727
2003-08,8.909677419354841,12377
2003-09,6.463333333333333,12498
2003-10,5.990322580645161,13422
2003-11,3.7433333333333336,14005
2003-12,7.483870967741934,14624
2004-01,10.264516129032256,14695
2004-02,11.948275862068966,13481
2004-03,6.580645161290322,14724
2004-04,6.003333333333334,14768
2004-05,4.167741935483871,15490
2004-06,8.566666666666666,15273
2004-07,6.125806451612903,15809
2004-08,11.096774193548388,15850
2004-09,7.723333333333334,15569
2004-10,5.290322580645161,16352
2004-11,4.673333333333334,16094
2004-12,7.619354838709677,16828
2005-01,9.86451612903226,16666
2005-02,9.671428571428569,15010
2005-03,8.787096774193548,16649
2005-04,5.963333333333333,16813
2005-05,5.525806451612904,17431
2005-06,5.836666666666667,17201
2005-07,5.135483870967741,17523
2005-08,7.180645161290322,17400
2005-09,6.526666666666667,16834
2005-10,4.4870967741935495,17371
2005-11,3.756666666666667,17324
2005-12,5.699999999999999,17916
2006-01,7.296774193548388,17780
2006-02,9.864285714285714,16043
2006-03,7.864516129032258,18164
2006-04,3.25,17672
2006-05,3.9903225806451608,17962
2006-06,5.596666666666667,17561
2006-07,9.56774193548387,18018
2006-08,9.696774193548388,17992
2006-09,7.113333333333333,17625
2006-10,5.119354838709676,18398
2006-11,3.613333333333333,18022
2006-12,6.535483870967743,18987
2007-01,7.0838709677419365,18452
2007-02,8.696428571428571,16661
2007-03,4.199999999999999,18611
2007-04,3.9133333333333336,18021
2007-05,4.990322580645161,18561
2007-06,4.790000000000001,18177
2007-07,5.464516129032259,18622
2007-08,6.351612903225806,18643
2007-09,6.836666666666665,18194
2007-10,4.8838709677419345,18950
2007-11,3.6566666666666667,18515
2007-12,4.751612903225806,19339
2008-01,6.419354838709677,18868
2008-02,7.686206896551726,18104
2008-03,5.283870967741934,19370
2008-04,4.2733333333333325,18884
2008-05,6.435483870967743,19590
2008-06,6.076666666666667,19103
2008-07,7.061290322580645,19697
2008-08,7.180645161290323,19673
2008-09,5.83,19009
2008-10,3.329032258064516,19664
2008-11,3.4266666666666667,19193
2008-12,6.041935483870968,20771
2009-01,10.09354838709677,20373
2009-02,7.596428571428571,17615
2009-03,7.106451612903226,19559
2009-04,7.173333333333332,19625
2009-05,6.522580645161291,19711
2009-06,6.0600000000000005,19071
2009-07,6.974193548387096,20264
2009-08,7.135483870967741,20495
2009-09,6.739999999999999,20115
2009-10,6.358064516129033,20986
2009-11,8.976666666666667,20661
2009-12,11.754838709677419,21885
2010-01,10.5,21502
2010-02,12.792857142857144,19617
2010-03,10.022580645161291,21604
2010-04,7.72,21303
2010-05,7.461290322580645,22151
2010-06,7.370000000000001,21833
2010-07,7.151724137931035,22593
2010-08,8.06206896551724,22368
2010-09,7.386666666666667,21923
2010-10,6.687096774193549,22488
2010-11,6.720000000000001,22372
2010-12,6.922580645161291,23839
2011-01,10.3,24000
2011-02,11.396428571428572,22013
2011-03,7.316129032258064,24403
2011-04,8.77,24266
2011-05,6.774193548387098,24994
2011-06,8.316666666666666,25059
2011-07,11.287096774193548,25908
2011-08,10.061290322580646,25708
2011-09,9.346666666666666,25513
2011-10,7.193548387096773,26270
2011-11,6.620000000000001,25923
2011-12,8.170967741935483,27654
2012-01,9.083870967741936,27584
2012-02,9.889655172413793,24903
2012-03,6.864516129032259,26981
2012-04,6.380000000000001,26410
2012-05,6.9967741935483865,26990
2012-06,8.979999999999999,26662
2012-07,9.238709677419354,27093
2012-08,11.29032258064516,27381
2012-09,8.426666666666668,26526
2012-10,6.5516129032258075,27641
2012-11,5.886666666666666,27593
2012-12,6.409677419354838,28958
2013-01,9.644827586206896,28203
2013-02,7.757142857142857,25939
2013-03,9.351612903225806,28423
2013-04,6.373333333333333,27544
2013-05,6.438709677419355,28451
2013-06,6.2733333333333325,28283
2013-07,7.058064516129033,28955
2013-08,9.238709677419354,29613
2013-09,7.3999999999999995,28441
2013-10,7.03225806451613,29485
2013-11,6.166666666666668,29505
2013-12,8.37741935483871,30923
2014-01,11.238709677419354,30353
2014-02,13.732142857142858,26764
2014-03,11.506451612903227,29141
2014-04,7.163333333333333,28358
2014-05,6.929032258064518,28933
2014-06,7.916666666666667,28130
2014-07,8.85483870967742,28205
2014-08,8.470967741935485,28356
2014-09,10.03,27024
2014-10,8.303225806451614,28380
2014-11,6.423333333333333,28031
2014-12,7.290322580645162,29711
2015-01,11.151612903225809,28779
2015-02,12.708,26491
2015-03,10.916129032258064,28793
2015-04,8.206666666666667,28256
2015-05,8.72258064516129,29042
2015-06,9.856666666666664,28531
2015-07,12.038709677419353,29412
2015-08,11.774193548387098,29606
2015-09,10.56666666666667,28464
2015-10,9.287096774193548,29610
2015-11,6.536666666666667,28729
2015-12,8.025806451612903,30621
2016-01,10.196774193548388,30145
2016-02,11.70689655172414,28518
2016-03,11.693548387096778,30125
2016-04,8.453333333333335,29460
2016-05,7.538709677419355,30221
2016-06,7.036666666666665,29345
2016-07,8.07741935483871,30793
2016-08,8.387096774193548,30257
2016-09,6.886206896551725,29330
